Family Name,Number,Number of Members,d(90% Percent),Precision (90% Percent),d(90% Precision),Percent (90% Precision),d Nesvorny
Goodhue,12911,132,113.05652826413207,19.52861952861953,6.003001500750376,7.751937984496124,18.0
Moore_Sitterly,2110,17,66.03301650825414,100.0,30.015007503751878,6.666666666666667,10.0
Tugela,1323,412,123.0615307653827,79.13978494623656,48.024012006003005,63.81418092909536,50.0
Eugenia,45,246,98.04902451225614,44.08817635270541,10.005002501250626,7.346938775510205,35.0
Shukla,12586,25,44.022011005502755,91.66666666666666,16.008004002001,37.5,20.0
2008 OV23,435544,90,80.04002001000501,57.14285714285714,10.005002501250626,12.359550561797752,20.0
Chleborad,61203,20,96.04802401200601,51.45631067961165,30.015007503751878,45.76271186440678,20.0
2005 WV105,217472,37,81.04052026013007,86.8421052631579,68.03401700850426,75.67567567567568,40.0
2001 PG20,63530,419,70.03501750875438,95.84415584415584,114.05702851425714,98.05352798053528,90.0
2007 DM10,190237,41,69.03451725862932,88.09523809523809,31.01550775387694,43.90243902439025,50.0
1994 AO1,18429,38,70.03501750875438,100.0,176.08804402201102,100.0,20.0
Algoa,1394,27,86.04302151075538,74.19354838709677,31.01550775387694,34.61538461538461,50.0
2001 TS117,77899,257,180.09004502251128,97.86324786324786,432.216108054027,98.03149606299213,200.0
Feodosia,1048,125,92.04602301150575,73.02631578947368,19.009504752376188,21.951219512195124,40.0
Burnett,5798,81,130.06503251625813,38.06818181818182,16.008004002001,6.756756756756757,58.0
4727 P_L,37455,285,187.09354677338672,67.38544474393531,7.003501750875438,2.877697841726619,40.0
Europa,52,250,136.06803401700853,40.43956043956044,32.016008004002,36.09756097560975,50.0
Avsyuk,3324,222,63.03151575787894,78.4,18.009004502251127,37.61467889908257,30.0
2002 FX3,126948,14,248.1240620310155,76.47058823529412,97.04852426213107,57.14285714285714,30.0
1999RX33,70208,16,166.0830415207604,86.66666666666667,166.0830415207604,86.66666666666667,20.0
Tantawi,6142,114,86.04302151075538,70.62937062937063,21.010505252626317,45.535714285714285,30.0
Velleda,126,308,76.03801900950475,83.27645051194538,18.009004502251127,6.666666666666667,70.0
Kira,1156,33,163.0815407703852,72.5,48.024012006003005,21.875,70.0
Interamnia,704,413,105.05252626313157,90.2439024390244,107.0535267633817,90.99756690997567,50.0
1999 CG62,26369,43,220.11005502751377,100.0,9.004502251125563,2.380952380952381,50.0
2008 BO31,352479,50,86.04302151075538,68.75,18.009004502251127,18.367346938775512,30.0
van der Laan,2823,136,69.03451725862932,87.59689922480621,42.02101050525263,64.8,60.0
Bradshaw,8223,48,93.04652326163082,72.41379310344827,25.012506253126567,31.914893617021278,20.0
1999 XB232,41331,23,147.0735367683842,86.95652173913044,68.03401700850426,40.909090909090914,20.0
Innanen,3497,261,55.02751375687844,80.0,35.01750875437719,67.44186046511628,50.0
Chesneau,6065,351,126.06303151575788,54.06427221172023,12.006003001500751,2.8301886792452833,60.0
Maca,5228,47,135.06753376688346,48.80952380952381,18.009004502251127,17.391304347826086,30.0
George,3854,261,193.0965482741371,72.81553398058253,24.012006003001503,4.016064257028113,130.0
Principia,2653,131,50.025012506253134,94.16666666666667,53.02651325662832,90.47619047619048,50.0
Chaliapin,2562,271,77.03851925962982,37.213403880070544,12.006003001500751,25.53191489361702,22.0
Khama,1357,62,367.183591795898,22.821576763485478,25.012506253126567,9.836065573770492,30.0
Abastumani,1390,65,224.11205602801402,93.54838709677419,614.3071535767884,98.4375,40.0
2000 UJ87,106302,489,135.06753376688346,67.74691358024691,8.0040020010005,8.19672131147541,30.0
1990 OE5,16472,58,67.03351675837919,27.932960893854748,24.012006003001503,39.285714285714285,7.0
1999 XU240,157940,19,226.11305652826414,80.95238095238095,73.03651825912956,47.368421052631575,10.0
Bellona,28,958,47.02351175587794,77.28506787330318,18.009004502251127,53.37552742616034,30.0
1999 AE7,22766,5,91.0455227613807,100.0,19.009504752376188,25.0,10.0
Aeternitas,446,447,76.03801900950475,77.66990291262135,28.014007003501753,59.68468468468468,40.0
2002 OS10,78225,88,82.04102051025514,72.47706422018348,30.015007503751878,41.37931034482759,60.0
Hawke,3452,116,631.3156578289145,34.97942386831276,36.018009004502254,12.76595744680851,100.0
Joensuu,1524,201,81.04052026013007,60.553633217993074,12.006003001500751,12.307692307692308,40.0
Florentina,321,209,80.04002001000501,5.322209436133487,3.001500750375188,1.4563106796116505,10.0
2001 SV124,77882,316,92.04602301150575,51.515151515151516,9.004502251125563,2.6402640264026402,45.0
