,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
0,00001,3.34,0.15,K239D,60.07879,73.42179,80.25496,10.58688,0.0789126,0.2141068,2.7672544,2.767028,2.3e-05,0.115193,0.00016,0.16756,1.3e-05,54.2538,-59.249995,3.34,123
1,00002,4.12,0.15,K239D,40.59806,310.8729,172.91881,34.92584,0.2302292,0.21377378,2.7701275,2.771276,0.00012,0.280234,0.00034,0.546016,4.5e-05,-1.372312,-46.45112,4.12,121
2,00003,5.17,0.15,K239D,37.0231,247.73791,169.8392,12.99055,0.2562135,0.22600445,2.6692631,2.669376,7.5e-06,0.2336,9.5e-06,0.229144,2.5e-06,43.858531,-61.476025,5.17,114
3,00004,3.22,0.15,K239D,169.35183,151.66223,103.71002,7.14218,0.0894491,0.27152244,2.3619221,2.361512,5.9e-08,0.099452,0.00014,0.111023,0.00018,36.882605,-39.610314,3.22,110
4,00005,7.0,0.15,K239D,303.39802,359.13666,141.46909,5.35867,0.187439,0.23826556,2.576886,2.577657,2.9e-05,0.171249,0.012,0.076113,0.0014,52.50647,-51.132322,7.0,87
5,00006,5.61,0.15,K239D,144.00279,239.58573,138.63642,14.73599,0.2026691,0.26089808,2.4256164,2.425275,1.5e-06,0.15895,0.00013,0.249017,0.00052,31.540156,-41.819571,5.61,103
6,00007,5.64,0.15,K239D,207.89845,145.44374,259.49834,5.51871,0.2297678,0.26729923,2.3867352,2.386116,2.7e-05,0.210605,0.00051,0.10892,0.00048,38.458755,-46.352563,5.64,90
7,00008,6.61,0.15,K239D,317.28634,285.60293,110.86315,5.88917,0.1565006,0.30180081,2.2011811,2.201393,2e-05,0.144783,0.00012,0.096433,0.00017,32.049097,-35.5083,6.61,94
8,00009,6.32,0.15,K239D,345.42832,5.74791,68.86859,5.57785,0.1231488,0.26731216,2.3866583,2.386436,3.2e-06,0.127508,8.4e-05,0.081626,4.9e-05,38.763873,-42.014077,6.32,86
9,00010,5.64,0.15,K239D,75.17819,312.48346,283.17351,3.83182,0.1110224,0.17714194,3.1399431,3.141917,5.9e-05,0.135147,9.3e-05,0.088733,4.9e-06,128.714227,-97.05105,5.64,99
10,00011,6.73,0.15,K239D,329.09194,195.82238,125.51744,4.63154,0.0993224,0.25659806,2.45264,2.452256,1.8e-07,0.074519,2.2e-05,0.067789,1.5e-05,40.764583,-43.166575,6.73,105
11,00012,7.31,0.15,K239D,215.75842,69.60327,235.35828,8.37397,0.2203586,0.27646199,2.3337039,2.334262,3.9e-05,0.174974,6.4e-05,0.162217,6.1e-05,34.152919,-40.893417,7.31,82
12,00013,6.93,0.15,K239D,209.62251,79.82668,43.20796,16.53663,0.0856294,0.23844663,2.5755813,2.576296,1.2e-06,0.126367,0.00011,0.276336,4.8e-05,35.937744,-45.446496,6.93,74
